hindustan_gurgaon,http://feeds.hindustantimes.com/HT-Gurgaon?format=xml,local,english
hindustan_india,http://feeds.hindustantimes.com/HT-India?format=xml,local,english
hindustan_indore,http://feeds.hindustantimes.com/HT-Indore?format=xml,local,english
hindustan_jaipur,http://feeds.hindustantimes.com/HT-Jaipur?format=xml,local,english
hindustan_kolkata,http://feeds.hindustantimes.com/HT-Kolkata?format=xml,local,english
hindustan_lucknow,http://feeds.hindustantimes.com/HT-Lucknow?format=xml,local,english
hindustan_mumbai,http://feeds.hindustantimes.com/HT-Mumbai-News?format=xml,local,english
hindustan_noida,http://feeds.hindustantimes.com/HT-Noida?format=xml,local,english
hindustan_patna,http://feeds.hindustantimes.com/HT-Patna?format=xml,local,english
hindustan_ranchi,http://feeds.hindustantimes.com/HT-Ranchi?format=xml,local,english
hindustan_world,http://feeds.hindustantimes.com/HT-World?format=xml,local,english
houstoncron_news,http://www.chron.com/rss/feed/News-270.php,local,english
hungary_budbusjourn,http://www.bbj.hu/assets/rss/rss.php,local,english
hurriyet,http://www.hurriyetdailynews.com/rss.aspx,international,english
india_deccanher_elec,http://www.deccanherald.com/rss/election-news.rss,local,english
india_deccanher_int,http://www.deccanherald.com/rss-internal/top-stories.rss,local,english
india_deccanher_news,http://www.deccanherald.com/rss/news.rss,local,english
india_mint_companies,http://www.livemint.com/rss/companies,local,english
india_mint_econpol,http://www.livemint.com/rss/economy_politics,local,english
india_mint_homepage,http://www.livemint.com/rss/homepage,local,english
india_mint_industry,http://www.livemint.com/rss/industry,local,english
india_statesman_bengal,http://www.thestatesman.net/feed.aspx?cat_id=10,local,english
india_statesman_india,http://www.thestatesman.net/feed.aspx?cat_id=1,local,english
india_statesman_odisha,http://www.thestatesman.net/feed.aspx?cat_id=429,local,english
india_statesman_world,http://www.thestatesman.net/feed.aspx?cat_id=2,local,english
india_telegraph_bengal,http://www.telegraphindia.com/feeds/rss.jsp?id=8,local,english
india_telegraph_bihar,http://www.telegraphindia.com/feeds/rss.jsp?id=22,local,english
india_telegraph_calcutta,http://www.telegraphindia.com/feeds/rss.jsp?id=5,local,english
india_telegraph_int,http://www.telegraphindia.com/feeds/rss.jsp?id=13,local,english
india_telegraph_jharkhand,http://www.telegraphindia.com/feeds/rss.jsp?id=23,local,english
india_telegraph_nation,http://www.telegraphindia.com/feeds/rss.jsp?id=4,local,english
india_telegraph_nbengal,http://www.telegraphindia.com/feeds/rss.jsp?id=14,local,english
india_telegraph_northeast,http://www.telegraphindia.com/feeds/rss.jsp?id=24,local,english
india_telegraph_odisha,http://www.telegraphindia.com/feeds/rss.jsp?id=25,local,english
india_zee_national,http://zeenews.india.com/rss/india-national-news.xml,local,english
india_zee_states,http://zeenews.india.com/rss/india-news.xml,local,english
india_zee_world,http://zeenews.india.com/rss/world-news.xml,international,english
india_zee_seasia,http://zeenews.india.com/rss/south-asia-news.xml,international,english
